iter	Passed	Remaining
400	16430	24542
401	16466	24494
402	16505	24451
403	16539	24400
404	16580	24359
405	16616	24310
406	16652	24263
407	16706	24240
408	16749	24203
409	16783	24152
410	16819	24103
411	16852	24051
412	16886	24000
413	16919	23949
414	16954	23899
415	16990	23851
416	17024	23801
417	17058	23751
418	17098	23709
419	17139	23668
420	17175	23621
421	17211	23574
422	17277	23567
423	17340	23556
424	17384	23520
425	17419	23470
426	17452	23420
427	17485	23369
428	17525	23326
429	17561	23279
430	17598	23233
431	17634	23186
432	17669	23138
433	17708	23094
434	17742	23045
435	17775	22993
436	17808	22943
437	17841	22893
438	17875	22843
439	17911	22796
440	17946	22748
441	17981	22700
442	18015	22651
443	18048	22601
444	18082	22552
445	18120	22508
446	18156	22461
447	18190	22413
448	18223	22363
449	18256	22314
450	18289	22263
451	18322	22214
452	18357	22166
453	18390	22116
454	18423	22068
455	18456	22018
456	18489	21968
457	18523	21921
458	18559	21875
459	18594	21827
460	18627	21779
461	18661	21731
462	18698	21686
463	18742	21650
464	18780	21607
465	18823	21570
466	18864	21530
467	18906	21491
468	18948	21453
469	18986	21410
470	19022	21365
471	19058	21320
472	19111	21293
473	19147	21247
474	19179	21198
475	19214	21152
476	19249	21106
477	19282	21057
478	19319	21013
479	19366	20979
480	19402	20935
481	19435	20887
482	19472	20842
483	19506	20796
484	19540	20748
485	19581	20709
486	19617	20664
487	19657	20623
488	19694	20580
489	19727	20533
490	19761	20486
491	19795	20439
492	19830	20393
493	19868	20351
494	19902	20304
495	19936	20258
496	19972	20213
497	20006	20166
498	20041	20121
499	20076	20076
500	20120	20040
501	20161	20001
502	20201	19960
503	20248	19927
504	20299	19897
505	20340	19858
506	20381	19818
507	20416	19773
508	20453	19730
509	20487	19684
510	20522	19638
511	20555	19592
512	20589	19546
513	20628	19504
514	20662	19459
515	20696	19413
516	20732	19369
517	20768	19324
518	20802	19279
519	20842	19239
520	20881	19197
521	20919	19156
522	20955	19112
523	20990	19067
524	21024	19022
525	21059	18977
526	21099	18937
527	21134	18892
528	21170	18848
529	21209	18808
530	21246	18765
531	21282	18721
532	21316	18677
533	21351	18632
534	21388	18589
535	21421	18544
536	21457	18500
537	21491	18455
538	21527	18411
539	21563	18369
540	21598	18325
541	21633	18281
542	21669	18237
543	21705	18194
544	21739	18149
545	21774	18105
546	21810	18062
547	21848	18021
548	21889	17982
549	21928	17941
550	21964	17898
551	22002	17857
552	22037	17813
553	22076	17772
554	22111	17729
555	22146	17685
556	22187	17646
557	22228	17607
558	22278	17575
559	22325	17541
560	22392	17522
561	22488	17526
562	22558	17509
563	22626	17491
564	22674	17457
565	22712	17415
566	22755	17377
567	22792	17334
568	22827	17291
569	22862	17247
570	22899	17204
571	22940	17165
572	22975	17121
573	23011	17077
574	23047	17034
575	23087	16995
576	23126	16953
577	23161	16910
578	23195	16865
579	23231	16822
580	23267	16779
581	23303	16737
582	23341	16695
583	23381	16655
584	23420	16614
585	23456	16571
586	23498	16532
587	23533	16489
588	23569	16446
589	23605	16403
590	23649	16366
591	23687	16325
592	23729	16286
593	23774	16249
594	23826	16218
595	23868	16179
596	23907	16138
597	23951	16101
598	24000	16067
599	24054	16036
600	24112	16008
601	24164	15975
602	24215	15942
603	24264	15908
604	24310	15871
605	24354	15834
606	24405	15801
607	24450	15764
608	24505	15733
609	24561	15703
610	24614	15671
611	24663	15636
612	24710	15600
613	24755	15562
614	24807	15529
615	24854	15493
616	24910	15463
617	24998	15452
618	25085	15440
619	25130	15402
620	25167	15360
621	25209	15320
622	25248	15279
623	25285	15236
624	25322	15193
