iter	MultiClass
264	0.2249709303
265	0.224919482
266	0.224815871
267	0.2247142229
268	0.2245246756
269	0.2244843854
270	0.2238959171
271	0.2238635437
272	0.2234044169
273	0.2233701011
274	0.2232273886
275	0.2229656672
276	0.22266218
277	0.2225386259
278	0.2224885935
279	0.2222555398
280	0.2220624182
281	0.2218545061
282	0.2218236263
283	0.2210500121
284	0.2208467624
285	0.2205513623
286	0.2200722191
287	0.2198628665
288	0.2194012791
289	0.2192391241
290	0.2191950365
291	0.2191598784
292	0.2187597377
293	0.2187281924
294	0.2186984213
295	0.2183988829
296	0.2181222513
297	0.2180849619
298	0.2178714929
299	0.2176581259
300	0.2174307945
301	0.2173417657
302	0.2173108201
303	0.2170943248
304	0.2170005614
305	0.2167898249
306	0.2165260615
307	0.2160846176
308	0.2160601074
309	0.2160196764
310	0.2159518679
311	0.2157203246
312	0.2156063145
313	0.2151902233
314	0.2151542912
315	0.2148330869
316	0.214644739
317	0.2145397096
318	0.2144676801
319	0.214441803
320	0.2141868292
321	0.214148346
322	0.213864614
323	0.2138395648
324	0.2136023537
325	0.2134251963
326	0.2131094123
327	0.2129941609
328	0.2129618017
329	0.2129321593
330	0.2127481248
331	0.2126670319
332	0.2125617622
333	0.2124337497
334	0.212193557
335	0.2121713493
336	0.2121443505
337	0.2120711654
338	0.2115519189
339	0.2115235741
340	0.2114968883
341	0.2114704792
342	0.2113744071
343	0.2113308144
344	0.2111918495
345	0.2111636261
346	0.2111374749
347	0.2105667592
348	0.2102533132
349	0.2100557705
350	0.2100246501
351	0.2098554103
352	0.2097252899
353	0.2094591231
354	0.2092219335
355	0.209102687
356	0.2089002566
357	0.2085436531
358	0.2079994343
359	0.2079711696
360	0.2077812547
361	0.2077527283
362	0.207694359
363	0.2074540963
364	0.207367015
365	0.2073448984
366	0.2073141333
367	0.2072859317
368	0.2072623037
369	0.2071868731
370	0.2070440745
371	0.2069538308
372	0.2069261319
373	0.2068499064
374	0.2066121858
375	0.2065772215
376	0.2064411173
377	0.2063055368
378	0.2062701699
379	0.2062390321
380	0.2061048545
381	0.2059015619
382	0.205876055
383	0.2058423951
384	0.2058144319
385	0.2053818308
386	0.2053562662
387	0.2052290758
388	0.2048433497
389	0.2045539372
390	0.2042442857
391	0.2040180411
392	0.2032679895
393	0.2031422699
394	0.2026745325
395	0.2025242834
396	0.2024934931
397	0.2024691597
398	0.2024138543
399	0.2022638953
400	0.2022395198
401	0.2021296105
402	0.2018395006
403	0.2017282994
404	0.2015537022
405	0.2014032402
406	0.2013061445
407	0.2009358323
408	0.2008567157
409	0.2008360051
410	0.2005596736
411	0.2004125611
412	0.200386393
413	0.2003550637
414	0.2000884148
415	0.1998613344
416	0.1996617028
417	0.1996336068
418	0.1993903551
419	0.1990489013
420	0.1989210684
421	0.1986665122
422	0.198613053
423	0.1985850464
424	0.1983900771
425	0.1983700315
426	0.1983461489
427	0.1983153243
428	0.197813231
429	0.1977436233
430	0.1975780254
431	0.1974902296
432	0.1972589596
433	0.1971655037
434	0.1970995021
435	0.1970456301
436	0.1969111483
437	0.1968942432
438	0.1968669854
439	0.1967693553
440	0.1966311148
441	0.1962388084
442	0.1962162457
443	0.196187085
444	0.1961484288
445	0.1959655274
446	0.1958613122
447	0.1956449773
448	0.1956146347
449	0.195576636
450	0.1955482566
451	0.1954971457
452	0.1953918963
453	0.1953664675
454	0.1953280314
455	0.1952446228
456	0.1952125213
457	0.1951880966
458	0.1951638817
459	0.1951377667
460	0.1950940198
461	0.1950599963
462	0.1950378587
463	0.1949982644
464	0.1949640198
465	0.1948711816
466	0.194786485
467	0.1945425447
468	0.1944108763
469	0.1939234291
470	0.1938143476
471	0.1936408871
472	0.1935196498
473	0.1933855204
474	0.1933601124
475	0.1932372055
476	0.193137045
477	0.1931129351
478	0.1929089402
479	0.1928713967
480	0.1924702409
481	0.1924445114
482	0.1921440713
483	0.1920821825
484	0.1920626177
485	0.1918783216
486	0.1918537423
487	0.1915941783
488	0.1914022195
489	0.1912348478
490	0.1911475509
491	0.1909631204
492	0.1908359377
493	0.1905765633
494	0.1905538655
495	0.1905329984
496	0.1901444797
497	0.190005373
498	0.1899843796
499	0.1899517398
500	0.1894849765
501	0.189182087
502	0.189048727
503	0.1890241853
504	0.1887598623
505	0.1887170761
506	0.1885971086
507	0.1885240169
508	0.1883316635
509	0.1883073315
510	0.1882842548
511	0.188232481
512	0.1879319084
513	0.1875049109
514	0.1874528387
515	0.1873854536
516	0.1871341268
517	0.1868702629
518	0.1868466618
519	0.1868196077
520	0.1867944257
521	0.1867474532
522	0.1865984756
523	0.1865243557
524	0.1864909624
525	0.1864031896
526	0.1861341463
527	0.186111715
528	0.1860813437
529	0.1858839292
530	0.1858465392
531	0.1856969513
532	0.1855711906
533	0.1854050341
534	0.1852593927
535	0.1852367771
536	0.1848966145
537	0.1848743897
538	0.1848488956
539	0.1848185298
540	0.1847946307
541	0.1847368393
542	0.1847130221
543	0.184664462
544	0.1846341625
545	0.184497332
546	0.184474439
547	0.1842419522
548	0.1841958002
549	0.1840552404
550	0.1839988508
551	0.1836663229
552	0.1835825816
553	0.1833868001
554	0.1833263394
555	0.1832952157
556	0.1832664721
557	0.1832391471
558	0.1829345488
559	0.1826912885
560	0.1824458441
561	0.1824256899
562	0.1823635664
563	0.1823352915
564	0.1822820413
565	0.18212996
566	0.1818904326
567	0.1817351266
568	0.1815559622
569	0.1815278089
570	0.1815062447
571	0.181260639
572	0.1812371431
573	0.1812136442
574	0.1810215457
575	0.1809983706
576	0.1809338738
577	0.1808506037
578	0.1808301762
579	0.1808071713
580	0.1807762111
581	0.1807176951
582	0.1806989015
583	0.1805664844
584	0.1804857235
585	0.1802865533
586	0.1801287467
587	0.1800919148
588	0.1800697847
589	0.1800450078
590	0.1797805408
591	0.1796935638
592	0.1795118937
593	0.179378267
594	0.1790472473
595	0.1788776534
596	0.1786983014
597	0.1785621718
598	0.1785406099
599	0.178214012
600	0.1781444348
601	0.1781193011
602	0.1780710837
603	0.1779637483
604	0.1777449087
605	0.1777221516
606	0.1775311139
607	0.1774358622
608	0.177290827
609	0.1772171249
610	0.1771502959
611	0.1771105985
612	0.177010897
613	0.1769522565
614	0.1767295796
615	0.1766705339
616	0.1766142803
617	0.1765898855
618	0.1765670409
619	0.1763653622
620	0.1763310644
621	0.1762809161
622	0.1761827624
623	0.1758289694
624	0.1757528743
625	0.1756688827
626	0.1755396372
627	0.1753186874
628	0.1750409602
629	0.1750087504
630	0.1746155993
631	0.1745675582
632	0.1745456253
633	0.1744687778
634	0.1744131862
635	0.1743881831
636	0.1742998951
637	0.1741989201
638	0.174135678
639	0.1740811973
640	0.1739187804
641	0.1736863624
642	0.1736216619
643	0.173467377
644	0.1734441282
645	0.1734166657
646	0.1732988773
647	0.1730759651
648	0.1728047288
649	0.1727125379
650	0.1726829063
651	0.1726518328
652	0.1725889763
653	0.1725691101
654	0.1725132174
655	0.172453608
656	0.1723379909
657	0.1722858462
658	0.1720825829
659	0.1719377579
660	0.1719150862
661	0.1717353404
662	0.1716240498
663	0.1714950676
664	0.1714393358
665	0.1714172232
666	0.1713975538
667	0.1713456546
668	0.1713241218
669	0.1713094784
670	0.1712855279
671	0.1712673752
672	0.1712106823
673	0.1710619196
674	0.1709807628
675	0.1708165613
676	0.170604315
677	0.1705765262
678	0.1705550978
679	0.170498094
680	0.1704730561
681	0.1704346546
682	0.1702530392
683	0.1702333965
684	0.1701431558
685	0.1698873441
686	0.1698479231
687	0.1697213104
688	0.16962612
689	0.1695573207
690	0.1695299822
691	0.1695081959
692	0.1694743193
693	0.169231073
694	0.1692114888
695	0.1690456506
696	0.1689468907
697	0.1688319973
698	0.1688088128
699	0.1687398594
700	0.1687119914
701	0.1685645397
702	0.1684116641
703	0.1683901299
704	0.1682301823
705	0.1681796578
706	0.1681614155
707	0.168102861
708	0.1679696619
709	0.1678652235
710	0.1678101558
711	0.1676857372
712	0.1675735562
713	0.167507171
714	0.167479233
715	0.1673250051
716	0.1673047133
717	0.167254923
718	0.1670188634
719	0.1669843109
720	0.1668299667
721	0.166738044
722	0.1666791594
723	0.166564876
724	0.1659745458
725	0.1659529845
726	0.1657981974
727	0.1657405254
728	0.1657206111
729	0.1655078755
730	0.1654837889
731	0.1654658829
732	0.1652051602
733	0.1650847446
734	0.1649696343
735	0.1649245771
736	0.1648840714
737	0.1646504335
738	0.1646303284
739	0.1646057248
740	0.1645450995
741	0.1644374323
742	0.164415649
743	0.1643296512
744	0.1643107931
745	0.1642642353
746	0.1642118959
747	0.164006707
748	0.1639872595
749	0.1639450948
750	0.1638250755
751	0.163808282
752	0.1636626047
753	0.1634487944
754	0.1634258598
755	0.1633027745
756	0.163164786
757	0.1631363103
758	0.163111139
759	0.1629567619
760	0.1629306757
761	0.1628943093
762	0.1628205979
763	0.1627639902
764	0.1626941043
765	0.1625296366
766	0.1624000297
767	0.1623738258
768	0.1622391827
769	0.1622060737
770	0.1621026343
771	0.1619923748
772	0.1619740976
773	0.1618360011
774	0.1618200557
